,predicate,subject,object,sub,pred,obj
18025,11992,6649,1108,6649,11992,1108
18026,11992,11856,1166,11856,11992,1166
18027,11992,5069,761,5069,11992,761
18028,11992,9289,649,9289,11992,649
18029,11992,8126,1359,8126,11992,1359
18030,11992,1570,479,1570,11992,479
18031,11992,1747,1164,1747,11992,1164
18032,11992,5839,53,5839,11992,53
18033,11992,7885,39,7885,11992,39
18034,11992,3981,485,3981,11992,485
18035,11992,2726,780,2726,11992,780
18036,11992,11898,1115,11898,11992,1115
18037,11992,7093,1067,7093,11992,1067
18038,11992,8240,784,8240,11992,784
18039,11992,5023,1201,5023,11992,1201
18040,11992,6567,284,6567,11992,284
18041,11992,10965,154,10965,11992,154
18042,11992,1615,380,1615,11992,380
18043,11992,6985,1463,6985,11992,1463
18044,11992,7550,21,7550,11992,21
18045,11992,3906,320,3906,11992,320
18046,11992,7617,738,7617,11992,738
18047,11992,8293,252,8293,11992,252
18048,11992,3750,29,3750,11992,29
18049,11992,2146,1281,2146,11992,1281
18050,11992,10791,1318,10791,11992,1318
18051,11992,7991,992,7991,11992,992
18052,11992,4860,910,4860,11992,910
18053,11992,1749,49,1749,11992,49
18054,11992,9038,852,9038,11992,852
18055,11992,5816,1490,5816,11992,1490
18056,11992,4454,1242,4454,11992,1242
18057,11992,7816,156,7816,11992,156
18058,11992,8711,1257,8711,11992,1257
18059,11992,11238,441,11238,11992,441
18060,11992,10777,1050,10777,11992,1050
18061,11992,8851,1089,8851,11992,1089
18062,11992,10759,943,10759,11992,943
18063,11992,10008,257,10008,11992,257
18064,11992,9838,1421,9838,11992,1421
18065,11992,10562,666,10562,11992,666
18066,11992,9712,210,9712,11992,210
18067,11992,11768,1159,11768,11992,1159
18068,11992,8937,1023,8937,11992,1023
18069,11992,7743,404,7743,11992,404
18070,11992,2239,376,2239,11992,376
18071,11992,4003,963,4003,11992,963
18072,11992,11018,503,11018,11992,503
18073,11992,5509,1208,5509,11992,1208
18074,11992,5366,678,5366,11992,678
18075,11992,11026,312,11026,11992,312
18076,11992,11815,1313,11815,11992,1313
18077,11992,2043,853,2043,11992,853
18078,11992,9931,109,9931,11992,109
18079,11992,5498,1399,5498,11992,1399
18080,11992,4110,1022,4110,11992,1022
18081,11992,9630,186,9630,11992,186
18082,11992,5370,1364,5370,11992,1364
18083,11992,6931,629,6931,11992,629
18084,11992,3982,660,3982,11992,660
18085,11992,4392,1137,4392,11992,1137
18086,11992,5135,78,5135,11992,78
18087,11992,6789,357,6789,11992,357
18088,11992,10147,1485,10147,11992,1485
18089,11992,8341,594,8341,11992,594
18090,11992,2768,1309,2768,11992,1309
18091,11992,6293,279,6293,11992,279
18092,11992,10714,1188,10714,11992,1188
18093,11992,6356,819,6356,11992,819
18094,11992,11489,1336,11489,11992,1336
18095,11992,4293,701,4293,11992,701
18096,11992,7042,23,7042,11992,23
18097,11992,3201,1460,3201,11992,1460
18098,11992,11192,1160,11192,11992,1160
18099,11992,5080,587,5080,11992,587
18100,11992,11889,1341,11889,11992,1341
18101,11992,11393,54,11393,11992,54
18102,11992,3817,603,3817,11992,603
18103,11992,11678,290,11678,11992,290
18104,11992,6773,1130,6773,11992,1130
18105,11992,3723,507,3723,11992,507
18106,11992,4223,121,4223,11992,121
18107,11992,7299,461,7299,11992,461
18108,11992,7692,133,7692,11992,133
18109,11992,11808,352,11808,11992,352
18110,11992,3423,1039,3423,11992,1039
18111,11992,4356,563,4356,11992,563
18112,11992,2031,212,2031,11992,212
18113,11992,5414,577,5414,11992,577
18114,11992,4037,1127,4037,11992,1127
18115,11992,2442,1373,2442,11992,1373
18116,11992,11526,1152,11526,11992,1152
18117,11992,5005,183,5005,11992,183
18118,11992,2260,65,2260,11992,65
18119,11992,9201,1079,9201,11992,1079
18120,11992,6329,1436,6329,11992,1436
18121,11992,4383,806,4383,11992,806
18122,11992,11718,178,11718,11992,178
18123,11992,9716,349,9716,11992,349
18124,11992,4200,1251,4200,11992,1251
18125,11992,11349,541,11349,11992,541
18126,11992,6863,747,6863,11992,747
18127,11992,3401,406,3401,11992,406
18128,11992,3136,847,3136,11992,847
18129,11992,10274,1160,10274,11992,1160
18130,11992,7949,94,7949,11992,94
18131,11992,1509,1433,1509,11992,1433
18132,11992,7500,983,7500,11992,983
18133,11992,1959,1329,1959,11992,1329
18134,11992,8777,1396,8777,11992,1396
18135,11992,8177,186,8177,11992,186
18136,11992,10807,840,10807,11992,840
18137,11992,2032,55,2032,11992,55
18138,11992,6611,1460,6611,11992,1460
18139,11992,7189,689,7189,11992,689
18140,11992,6796,266,6796,11992,266
18141,11992,1756,63,1756,11992,63
18142,11992,3242,455,3242,11992,455
18143,11992,3898,228,3898,11992,228
18144,11992,2767,910,2767,11992,910
18145,11992,2451,976,2451,11992,976
18146,11992,9383,1165,9383,11992,1165
18147,11992,3550,588,3550,11992,588
18148,11992,9163,1052,9163,11992,1052
18149,11992,3918,1325,3918,11992,1325
18150,11992,10568,1365,10568,11992,1365
18151,11992,7658,779,7658,11992,779
18152,11992,9067,979,9067,11992,979
18153,11992,10041,995,10041,11992,995
18154,11992,2538,214,2538,11992,214
18155,11992,6212,80,6212,11992,80
18156,11992,3878,716,3878,11992,716
18157,11992,11840,770,11840,11992,770
18158,11992,4371,26,4371,11992,26
18159,11992,6071,1285,6071,11992,1285
18160,11992,11498,1436,11498,11992,1436
18161,11992,4966,21,4966,11992,21
18162,11992,11066,1058,11066,11992,1058
18163,11992,6781,528,6781,11992,528
18164,11992,8666,426,8666,11992,426
18165,11992,2921,59,2921,11992,59
18166,11992,3948,334,3948,11992,334
18167,11992,3684,965,3684,11992,965
18168,11992,8558,608,8558,11992,608
18169,11992,11373,273,11373,11992,273
18170,11992,5187,765,5187,11992,765
18171,11992,9358,1095,9358,11992,1095
18172,11992,4899,211,4899,11992,211
18173,11992,6011,834,6011,11992,834
18174,11992,2596,355,2596,11992,355
18175,11992,9686,891,9686,11992,891
18176,11992,5058,299,5058,11992,299
18177,11992,4349,143,4349,11992,143
18178,11992,2121,1181,2121,11992,1181
18179,11992,2989,322,2989,11992,322
18180,11992,3385,1277,3385,11992,1277
18181,11992,5107,1402,5107,11992,1402
18182,11992,3453,681,3453,11992,681
18183,11992,8447,953,8447,11992,953
18184,11992,6370,980,6370,11992,980
18185,11992,2050,728,2050,11992,728
18186,11992,11395,469,11395,11992,469
18187,11992,3637,446,3637,11992,446
18188,11992,4124,1307,4124,11992,1307
