,predicate,subject,object,sub,pred,obj
23303,11209,11990,5635,5635,11209,11990
23304,8501,11990,10879,10879,8501,11990
23305,7183,11990,7063,7063,7183,11990
23306,7494,11990,7885,7885,7494,11990
23307,6765,11990,11262,11262,6765,11990
23308,7288,11990,6663,6663,7288,11990
23309,3932,11990,9922,9922,3932,11990
23310,3141,11990,11797,11797,3141,11990
23311,7205,11990,7638,7638,7205,11990
23312,9545,11990,3709,3709,9545,11990
23313,4471,11990,7908,7908,4471,11990
23314,5488,11990,5823,5823,5488,11990
23315,6994,11990,5272,5272,6994,11990
23316,8644,11990,9475,9475,8644,11990
23317,2233,11990,2087,2087,2233,11990
23318,3141,11990,7259,7259,3141,11990
23319,5001,11990,3348,3348,5001,11990
23320,8008,11990,6875,6875,8008,11990
23321,7761,11990,5146,5146,7761,11990
23322,2403,11990,6839,6839,2403,11990
23323,7812,11990,2660,2660,7812,11990
23324,2976,11990,4133,4133,2976,11990
23325,6786,11990,5815,5815,6786,11990
23326,7988,11990,4920,4920,7988,11990
23327,8692,11990,11918,11918,8692,11990
23328,10330,11990,3240,3240,10330,11990
23329,6644,11990,4260,4260,6644,11990
23330,10968,11990,4827,4827,10968,11990
23331,3438,11990,5854,5854,3438,11990
23332,4312,11990,3446,3446,4312,11990
23333,5355,11990,5252,5252,5355,11990
23334,10942,11990,1685,1685,10942,11990
23335,7382,11990,9306,9306,7382,11990
23336,3464,11990,7884,7884,3464,11990
23337,5709,11990,2457,2457,5709,11990
23338,10152,11990,11494,11494,10152,11990
23339,3120,11990,5365,5365,3120,11990
23340,9495,11990,4976,4976,9495,11990
23341,5351,11990,8437,8437,5351,11990
23342,8865,11990,11497,11497,8865,11990
23343,9538,11990,4730,4730,9538,11990
23344,2728,11990,2549,2549,2728,11990
23345,5381,11990,5295,5295,5381,11990
23346,1894,11990,9542,9542,1894,11990
23347,8463,11990,7643,7643,8463,11990
23348,7815,11990,1743,1743,7815,11990
23349,2943,11990,6004,6004,2943,11990
23350,2152,11990,2107,2107,2152,11990
23351,7952,11990,2516,2516,7952,11990
23352,1777,11990,10512,10512,1777,11990
23353,6564,11990,7138,7138,6564,11990
23354,7844,11990,2082,2082,7844,11990
23355,2962,11990,6499,6499,2962,11990
23356,11384,11990,10694,10694,11384,11990
23357,11214,11990,1822,1822,11214,11990
23358,2929,11990,3726,3726,2929,11990
